empleado_id,bienestar_laboral,horas_extra_semana,apoyo_equipo,reconocimiento,autonomia,dias_home_office,bono_anual_pct,reuniones_semana,mensajes_chat_dia,dias_vacaciones_tomados,distancia_oficina_km,cursos_completados,meses_en_el_rol,tickets_cerrados_mes,emails_enviados_dia,proyectos_activos,dias_licencia_medica,horas_capacitacion,puntualidad_pct
92,66.1,6.4,8.8,6.6,8.7,3,4.97,16,50,18,5.5,2,58,13,14,6,1,5.1,92.4
93,57.0,0.8,4.2,6.3,8.2,0,12.84,9,37,11,1.0,3,12,17,14,5,4,10.7,89.1
94,60.2,1.4,8.6,6.2,6.4,1,8.8,9,48,11,2.8,2,42,11,11,3,3,6.5,84.4
95,49.7,9.7,5.8,6.9,7.3,0,13.77,9,54,5,26.0,3,25,18,9,1,3,6.0,98.7
96,73.0,2.1,8.3,7.1,6.7,4,10.01,6,37,12,10.7,3,53,13,8,2,4,10.7,93.8
97,49.9,8.0,5.9,5.9,9.6,2,8.2,10,44,11,16.5,4,12,6,7,5,3,6.9,88.9
98,59.4,0.8,5.1,6.2,7.4,0,9.62,14,46,8,1.7,1,30,13,6,1,0,5.6,96.5
99,87.0,3.8,4.7,5.8,8.8,1,14.38,19,48,13,15.2,0,17,15,9,4,0,2.2,88.6
100,60.3,7.0,6.2,3.1,6.7,3,7.47,13,33,5,18.3,4,8,14,8,6,4,7.4,92.1
101,82.8,4.0,4.9,4.6,8.4,4,16.33,9,44,21,12.5,2,54,18,8,6,1,6.7,100.0
102,63.8,2.1,5.9,5.4,6.9,2,7.32,10,51,19,7.7,0,57,21,16,2,2,2.6,100.0
103,67.6,0.4,8.5,5.0,5.7,4,10.1,10,36,18,12.4,3,35,14,17,2,1,6.7,96.4
104,57.2,2.1,7.8,4.4,8.4,4,11.39,8,56,20,11.6,1,36,13,4,4,4,6.0,99.9
105,46.8,0.4,5.7,4.1,5.6,0,7.77,8,47,7,15.7,4,17,16,14,4,6,9.3,83.4
106,51.8,6.4,3.9,3.6,6.2,3,9.26,14,39,19,9.3,1,53,17,11,4,0,3.1,86.2
107,60.7,1.9,5.5,5.7,7.7,2,12.78,9,37,9,1.8,1,16,17,11,2,0,8.1,97.9
108,49.6,7.2,4.9,4.8,7.2,2,10.51,13,35,10,7.0,3,60,13,9,3,2,1.7,99.4
109,50.0,3.5,4.0,1.3,6.0,3,7.34,5,45,16,6.0,2,50,15,8,3,4,4.5,96.8
110,81.5,1.2,9.1,7.7,6.7,4,9.23,8,48,0,8.7,4,20,12,6,6,1,8.7,99.2
111,46.0,3.0,5.9,4.2,8.4,5,7.47,8,40,19,16.2,4,9,16,5,5,1,5.7,98.0
112,74.3,7.8,7.5,6.3,5.6,5,10.06,12,57,21,21.6,4,41,10,12,5,1,8.4,88.8
113,63.8,4.0,5.7,6.5,3.0,3,11.5,7,43,12,9.9,0,57,11,11,6,6,4.7,94.2
114,56.5,1.8,4.8,5.4,8.1,2,10.19,14,53,3,16.6,2,49,11,10,5,1,4.7,90.8
115,50.8,5.2,4.2,4.0,5.9,3,12.99,8,38,5,4.5,2,25,10,14,2,3,11.9,80.6
116,49.6,3.0,6.3,5.6,6.1,2,6.87,8,42,11,12.5,2,58,7,14,5,1,2.6,96.0
117,45.4,0.4,7.1,5.5,7.7,5,0.0,6,49,1,9.4,3,22,13,8,2,1,5.4,97.5
118,60.7,3.5,7.6,7.4,6.0,5,8.88,13,38,21,9.4,1,29,16,16,5,1,9.0,98.9
119,58.8,1.4,6.2,6.0,6.3,5,14.4,12,41,15,12.0,3,26,12,13,6,1,2.6,98.1
120,55.4,2.3,7.6,6.0,8.1,4,6.89,8,46,10,7.2,0,11,17,14,5,2,5.6,90.9
121,61.3,1.0,7.8,8.8,7.5,2,5.9,4,43,2,2.8,7,48,14,11,6,2,3.5,98.6
122,58.5,8.5,6.7,4.4,6.5,1,11.02,10,42,11,2.9,4,7,11,7,1,1,4.9,95.3
123,58.7,1.6,7.4,7.9,5.4,0,15.65,8,47,9,21.0,2,21,12,14,1,1,6.3,86.4
124,56.3,1.9,5.8,5.0,5.2,1,6.13,3,43,14,10.2,1,27,13,14,5,0,8.0,100.0
125,42.5,8.1,5.6,6.6,7.8,0,8.17,6,46,13,9.8,1,11,12,8,5,1,7.1,86.4
126,68.5,0.9,7.7,7.5,7.4,4,5.7,13,38,7,5.3,7,36,11,15,4,5,8.3,96.3
127,55.4,1.3,5.3,5.4,5.2,5,8.39,5,45,2,1.9,1,33,13,13,2,2,8.9,85.8
128,60.4,1.9,8.5,6.5,6.9,0,7.06,6,47,7,7.5,1,31,10,10,1,4,9.4,82.4
129,43.6,3.4,5.6,5.2,3.6,0,2.74,8,44,8,10.1,3,10,15,12,3,2,5.0,94.3
130,63.0,4.4,7.5,7.2,7.5,0,9.04,7,38,20,14.1,2,11,10,7,4,2,2.6,88.5
131,56.1,4.1,6.5,5.2,6.9,2,2.71,9,38,3,8.3,2,31,10,8,2,1,11.9,93.2
132,56.7,10.0,6.3,4.4,5.5,4,9.93,8,39,2,9.4,2,35,15,9,4,5,5.9,90.8
133,45.4,8.0,5.4,8.2,8.1,0,11.12,7,38,18,8.6,4,5,16,9,3,2,4.7,100.0
134,51.6,3.2,3.1,6.5,7.0,4,11.27,12,46,2,2.2,0,44,15,7,2,1,1.8,85.0
135,74.1,3.9,7.9,9.6,6.0,3,16.18,7,37,11,5.0,0,46,11,9,6,2,7.2,94.0
136,56.8,0.8,4.8,5.2,6.0,2,9.42,11,43,6,2.1,1,21,18,14,1,4,6.1,83.7
137,62.8,1.1,4.9,6.0,6.1,4,9.53,8,48,11,8.1,0,42,12,9,4,0,11.8,82.0
138,57.5,4.6,3.9,5.9,7.7,1,16.52,11,40,13,7.6,2,6,14,13,2,1,6.0,79.8
139,50.4,7.4,7.7,7.1,7.4,1,8.45,8,43,6,6.4,1,50,18,14,5,1,5.1,96.0
140,57.7,4.4,6.7,6.8,5.9,5,11.81,13,43,20,16.6,2,58,11,10,5,2,9.0,98.2
141,69.9,3.4,7.3,6.4,4.8,4,12.41,10,30,5,5.5,1,10,22,11,2,2,4.4,98.4
142,64.8,2.2,8.8,8.7,6.2,3,5.74,6,43,21,10.4,2,20,13,16,1,1,5.3,93.0
143,52.8,0.8,5.2,4.9,7.0,1,8.86,6,48,16,8.6,1,2,15,7,6,4,20.0,90.1
144,56.2,6.5,7.3,7.7,5.3,3,5.77,9,50,3,14.9,5,35,18,4,5,3,6.0,92.5
145,46.4,2.4,6.6,5.2,5.4,1,0.19,6,51,10,10.8,1,43,12,11,4,5,8.3,98.9
146,66.0,5.3,7.1,6.6,6.2,5,9.63,7,54,12,4.0,3,13,12,11,3,1,13.2,91.6
147,59.8,8.1,7.0,7.7,6.9,3,4.54,11,51,20,4.3,2,30,5,11,1,1,13.5,87.7
148,53.4,2.3,3.8,4.8,7.4,5,8.33,8,45,0,20.0,1,26,11,8,1,2,4.0,81.3
149,76.9,3.1,8.1,4.1,8.0,5,11.41,13,44,5,11.1,0,43,13,10,1,6,5.6,82.5
150,63.4,3.4,5.2,5.8,3.9,4,14.98,15,30,13,6.8,4,38,19,9,6,1,5.6,100.0
151,43.5,6.0,4.0,4.8,7.9,2,5.93,8,43,17,3.2,1,1,19,10,5,4,4.0,97.4
152,41.4,10.7,5.9,5.1,7.0,1,3.86,4,43,21,2.5,3,23,12,3,3,5,8.7,84.9
153,44.2,4.6,5.0,6.1,5.7,5,5.16,7,43,6,5.4,1,31,17,8,5,2,9.8,91.9
154,49.8,1.1,5.3,4.7,7.6,0,4.91,10,44,19,8.1,1,53,11,10,3,0,8.5,91.3
155,55.5,2.8,5.5,7.0,3.6,5,11.06,8,34,15,5.4,1,2,23,12,4,0,7.6,96.6
156,74.4,7.8,8.1,6.7,3.9,3,8.65,7,46,13,2.7,2,42,17,12,5,1,5.9,87.1
157,53.1,10.8,6.6,7.9,9.2,4,4.49,11,42,9,9.5,1,40,10,13,2,3,15.9,94.9
158,70.0,8.5,5.1,3.7,4.6,3,14.81,6,47,0,6.8,3,25,15,11,3,3,5.3,94.1
159,68.6,7.0,6.7,6.1,6.8,3,8.97,7,45,14,6.0,1,5,16,13,3,2,4.1,90.1
160,54.0,3.0,7.4,5.1,4.9,3,3.86,12,50,6,0.9,4,15,17,8,4,2,14.3,87.8
161,43.0,7.1,6.4,4.3,5.8,1,4.95,8,38,4,7.8,1,47,13,11,4,0,14.9,99.3
162,63.1,10.5,6.1,4.8,5.0,4,11.47,8,51,9,10.6,2,32,6,11,5,3,17.5,98.7
163,76.5,3.2,7.8,5.9,7.9,3,11.42,4,36,12,12.4,3,7,16,14,1,2,16.0,86.9
164,41.6,4.5,5.1,3.1,3.6,3,6.25,10,39,10,21.4,3,55,10,10,2,1,9.3,82.8
165,75.2,4.6,6.1,5.3,6.4,3,16.66,8,31,1,9.1,3,7,15,9,6,1,2.0,89.2
166,65.5,7.2,5.8,7.0,5.0,3,14.0,6,42,0,6.8,1,48,17,13,1,0,9.0,93.5
167,59.2,2.1,5.1,4.0,4.9,3,10.31,11,36,5,10.7,3,51,17,7,3,2,9.6,99.7
168,57.0,5.5,5.5,4.4,7.5,3,7.28,11,32,8,8.2,6,52,10,15,3,3,5.7,86.0
169,45.0,2.4,6.9,4.1,5.1,1,2.06,12,38,10,9.4,1,52,13,8,6,4,10.6,81.0
170,83.2,1.4,7.4,5.3,6.2,3,12.87,9,41,16,24.0,2,5,16,11,5,3,5.2,94.0
171,45.7,8.8,5.5,5.0,7.1,1,9.57,6,50,8,5.0,2,30,8,15,5,1,3.6,94.1
172,74.8,7.8,7.3,5.0,6.5,3,10.29,11,45,5,11.2,1,27,17,7,2,2,8.9,92.9
173,67.9,2.0,6.1,4.7,7.3,3,9.62,8,41,7,2.1,7,5,15,17,4,2,0.7,97.9
174,67.6,2.3,5.8,4.6,7.9,1,8.22,8,48,20,5.2,2,53,14,5,1,3,3.9,99.5
175,78.3,2.6,6.0,6.3,6.8,4,13.89,6,34,8,9.3,5,31,10,10,1,2,6.4,87.8
176,56.2,7.6,5.8,3.5,6.0,2,13.87,7,46,3,2.4,3,25,10,12,5,4,8.8,95.4
177,57.2,5.9,8.3,7.2,6.3,2,11.44,7,42,16,8.5,5,8,12,8,6,6,17.5,89.3
178,52.0,21.4,6.5,4.9,5.8,0,10.21,12,45,10,5.5,6,58,11,14,2,2,9.4,95.4
179,74.1,5.8,8.2,3.5,7.8,5,13.27,7,58,9,7.1,2,21,12,11,3,3,9.1,92.2
180,63.5,2.4,7.1,6.0,5.4,0,10.16,11,40,20,6.3,1,15,15,14,6,2,2.7,95.0
181,71.9,11.1,8.6,7.0,6.9,4,9.96,10,49,8,2.2,2,35,12,15,4,2,8.0,100.0
182,72.3,10.5,8.3,6.9,7.4,1,13.23,8,34,1,6.7,2,8,17,10,4,1,8.5,83.9
183,53.9,5.2,5.1,4.7,5.4,2,10.0,11,57,18,17.5,5,8,15,14,1,1,5.1,99.0
184,57.7,4.8,7.4,7.5,4.3,3,4.23,10,45,20,2.5,5,42,11,11,6,2,6.3,93.9
185,49.6,12.0,7.7,6.9,7.6,1,3.55,8,43,13,5.4,2,10,14,10,4,2,10.8,100.0
186,24.9,14.4,4.9,4.8,6.6,2,0.75,8,46,15,26.9,4,23,20,9,3,1,3.5,81.6
187,41.0,2.0,4.4,4.0,6.3,0,7.39,10,51,10,5.1,6,29,16,13,6,2,3.1,100.0
188,57.5,3.7,9.3,6.4,6.4,2,8.41,12,38,3,25.6,3,15,12,13,2,1,8.0,90.4
189,39.4,7.4,4.4,3.0,6.7,5,9.67,9,44,4,2.3,4,41,13,15,6,1,7.9,97.2
190,58.5,1.9,5.2,6.0,7.0,3,9.9,14,46,11,1.8,2,14,18,8,5,0,7.4,89.3
191,87.0,1.3,7.3,8.2,6.3,2,10.03,7,52,4,9.7,2,36,8,11,4,1,14.5,95.7
192,62.9,8.8,5.6,5.5,5.6,5,11.32,7,40,3,0.7,2,16,14,9,2,4,6.4,94.4
193,45.3,1.6,6.3,5.5,7.1,0,5.26,7,41,4,10.9,1,39,11,9,1,0,4.4,100.0
194,48.2,2.4,5.8,4.9,7.4,5,12.45,5,34,16,5.2,2,21,12,13,3,4,0.8,97.8
195,53.8,1.4,5.3,6.3,5.5,2,11.71,8,38,14,3.2,1,30,11,12,1,2,4.4,91.5
196,55.3,3.2,7.0,5.9,3.7,1,9.17,14,44,21,31.1,3,33,16,7,6,1,5.1,96.4
197,46.8,1.3,6.7,3.4,7.9,5,6.23,10,43,13,6.2,5,29,8,5,5,0,3.0,99.6
198,66.0,2.9,5.5,2.3,7.7,3,13.75,10,40,11,8.7,4,7,13,10,4,2,1.9,88.5
199,63.5,0.8,6.3,5.6,7.5,1,14.61,11,38,14,11.0,3,17,15,11,3,5,10.4,91.5
200,57.5,4.2,7.0,6.4,5.8,1,10.52,6,53,21,22.2,2,20,18,20,1,2,13.4,91.5
201,65.1,2.4,4.5,3.9,8.1,1,11.57,6,46,10,3.6,3,6,16,11,4,1,11.9,88.0
202,64.1,3.7,7.2,7.0,7.1,4,10.03,14,34,4,6.8,1,55,13,9,1,3,4.6,88.6
203,71.2,1.5,4.9,4.7,6.0,2,10.59,8,34,18,8.0,4,59,7,8,1,4,6.6,86.9
204,70.1,0.9,6.0,6.8,5.4,1,10.61,10,46,4,10.2,5,45,15,6,4,1,7.1,97.0
205,60.8,0.6,4.6,5.6,8.8,4,8.69,9,48,5,8.2,0,11,12,18,6,3,1.8,91.2
206,46.0,5.4,7.1,5.2,6.7,0,11.65,9,37,19,8.0,3,37,13,8,1,0,1.2,76.4
207,48.4,5.6,6.4,7.7,6.4,4,4.75,9,50,11,4.3,3,13,11,9,1,4,14.8,94.7
208,53.6,1.5,4.2,6.3,5.1,5,10.75,12,57,13,6.6,3,1,10,10,6,3,4.9,100.0
209,70.4,1.7,8.0,5.7,7.5,0,11.66,10,55,4,4.7,2,48,13,14,1,1,14.1,82.0
210,67.8,2.1,7.6,5.8,6.2,3,8.18,8,45,17,1.5,3,37,13,17,3,2,9.4,92.6
211,48.0,9.4,5.0,4.6,8.9,0,10.46,3,41,14,9.3,1,41,13,9,6,5,9.9,98.7
212,62.5,3.2,7.0,6.0,6.7,5,9.64,7,39,7,5.2,0,43,13,11,2,1,3.3,86.1
213,60.5,6.1,5.5,4.9,7.2,4,13.1,4,39,12,3.0,2,39,15,8,2,1,7.8,97.1
214,63.0,4.6,7.9,5.9,5.3,2,12.38,6,40,15,7.5,5,47,13,13,2,1,9.7,94.5
215,58.1,4.7,8.4,8.4,4.8,5,6.92,8,53,21,3.9,4,25,12,9,5,2,1.8,98.0
216,64.7,0.8,7.7,6.4,5.2,1,10.8,9,35,21,7.3,1,31,14,17,6,3,5.2,93.5
217,51.8,3.5,6.7,3.5,5.8,2,5.13,8,38,7,4.0,4,45,12,12,1,1,10.2,89.8
218,69.7,5.6,6.3,6.9,4.6,1,13.92,10,33,4,11.3,3,21,14,7,4,4,5.2,83.7
219,62.6,9.4,6.3,5.7,4.9,4,11.75,13,52,8,3.3,0,33,12,8,4,4,7.7,93.2
220,96.1,3.8,7.2,5.6,4.6,2,14.42,8,35,4,14.0,0,3,7,15,2,3,6.0,89.4
221,47.8,1.1,5.8,3.9,7.0,2,3.76,7,47,18,6.1,1,50,11,11,5,2,3.3,99.2
222,54.2,1.5,5.8,6.0,7.6,5,7.5,11,42,15,1.7,2,42,14,9,1,2,7.6,88.4
223,67.4,7.3,6.8,4.6,5.3,4,12.58,8,41,18,5.7,0,57,14,15,2,1,15.4,95.7
224,46.1,9.4,5.0,3.9,8.5,2,9.54,12,47,7,5.8,1,10,10,9,4,1,7.6,97.3
225,59.4,5.0,5.5,5.7,7.0,5,9.33,10,58,3,14.5,3,19,14,11,2,3,21.5,84.7
226,40.1,5.3,6.5,6.7,6.5,0,3.76,11,41,20,5.6,2,54,9,10,3,2,6.7,83.1
227,72.0,3.2,9.6,5.1,6.8,3,6.3,8,40,15,4.6,2,24,14,11,1,3,4.9,91.9
228,62.7,5.3,6.8,6.9,8.9,0,9.16,7,45,13,3.9,0,28,16,10,5,5,3.4,91.6
229,59.7,2.3,5.8,4.7,7.4,3,5.39,6,34,5,8.7,3,31,8,7,2,0,2.4,82.4
230,61.3,2.2,6.6,5.8,8.0,0,9.38,11,55,2,18.7,4,7,8,9,3,2,7.5,92.9
231,61.7,0.7,6.7,5.1,10.0,3,11.2,8,44,14,5.1,2,41,16,10,5,4,16.3,93.4
232,49.5,2.7,6.0,6.2,6.1,0,4.33,2,37,9,0.9,2,36,13,17,4,2,7.6,89.2
233,61.8,1.5,4.9,5.7,6.2,1,11.25,9,43,0,2.1,6,59,18,10,3,2,6.0,96.4
234,54.2,1.6,6.1,5.9,7.1,5,4.7,10,39,11,5.8,0,9,15,8,4,2,2.5,91.9
235,64.2,3.6,5.5,5.2,5.1,5,11.29,8,41,2,11.4,6,52,18,6,1,5,5.5,92.2
