fecha,tickets_empresas,tickets_particulares,tickets,feriado
2023-04-22,36,180,216,0
2023-04-23,19,200,219,0
2023-04-24,145,71,216,0
2023-04-25,156,54,210,0
2023-04-26,149,54,203,0
2023-04-27,159,51,210,0
2023-04-28,111,90,201,0
2023-04-29,43,182,225,0
2023-04-30,16,205,221,0
2023-05-01,60,72,132,1
2023-05-02,154,67,221,0
2023-05-03,174,71,245,0
2023-05-04,146,64,210,0
2023-05-05,145,90,235,0
2023-05-06,42,193,235,0
2023-05-07,32,196,228,0
2023-05-08,163,77,240,0
2023-05-09,172,58,230,0
2023-05-10,150,65,215,0
2023-05-11,137,78,215,0
2023-05-12,125,78,203,0
2023-05-13,39,177,216,0
2023-05-14,24,193,217,0
2023-05-15,151,63,214,0
2023-05-16,177,70,247,0
2023-05-17,145,74,219,0
2023-05-18,146,52,198,0
2023-05-19,145,95,240,0
2023-05-20,45,202,247,0
2023-05-21,26,175,201,0
2023-05-22,187,60,247,0
2023-05-23,158,47,205,0
2023-05-24,177,57,234,0
2023-05-25,60,64,124,1
2023-05-26,106,80,186,0
2023-05-27,31,166,197,0
2023-05-28,20,173,193,0
2023-05-29,162,76,238,0
2023-05-30,163,58,221,0
2023-05-31,164,68,232,0
2023-06-01,136,73,209,0
2023-06-02,151,92,243,0
2023-06-03,33,171,204,0
2023-06-04,27,192,219,0
2023-06-05,173,62,235,0
2023-06-06,178,59,237,0
2023-06-07,173,57,230,0
2023-06-08,143,62,205,0
2023-06-09,121,98,219,0
2023-06-10,49,186,235,0
2023-06-11,35,201,236,0
2023-06-12,182,69,251,0
2023-06-13,183,63,246,0
2023-06-14,133,57,190,0
2023-06-15,177,72,249,0
2023-06-16,131,86,217,0
2023-06-17,37,172,209,0
2023-06-18,28,161,189,0
2023-06-19,203,48,251,0
2023-06-20,53,54,107,1
2023-06-21,156,65,221,0
2023-06-22,214,78,292,0
2023-06-23,137,84,221,0
2023-06-24,45,177,222,0
2023-06-25,28,188,216,0
2023-06-26,158,73,231,0
2023-06-27,194,44,238,0
2023-06-28,178,62,240,0
2023-06-29,186,62,248,0
2023-06-30,153,99,252,0
2023-07-01,42,180,222,0
2023-07-02,29,204,233,0
2023-07-03,168,63,231,0
2023-07-04,179,46,225,0
2023-07-05,191,70,261,0
2023-07-06,172,53,225,0
2023-07-07,136,77,213,0
2023-07-08,46,187,233,0
2023-07-09,31,194,225,1
2023-07-10,195,55,250,0
2023-07-11,172,52,224,0
2023-07-12,175,76,251,0
2023-07-13,173,60,233,0
2023-07-14,181,87,268,0
2023-07-15,36,182,218,0
2023-07-16,32,168,200,0
2023-07-17,201,71,272,0
2023-07-18,183,58,241,0
2023-07-19,176,65,241,0
2023-07-20,161,79,240,0
2023-07-21,138,91,229,0
2023-07-22,44,163,207,0
2023-07-23,25,166,191,0
2023-07-24,191,70,261,0
2023-07-25,170,67,237,0
2023-07-26,191,60,251,0
2023-07-27,137,70,207,0
2023-07-28,140,70,210,0
2023-07-29,37,199,236,0
2023-07-30,27,199,226,0
2023-07-31,199,54,253,0
2023-08-01,217,65,282,0
2023-08-02,186,47,233,0
2023-08-03,155,67,222,0
2023-08-04,146,99,245,0
2023-08-05,50,169,219,0
2023-08-06,29,200,229,0
2023-08-07,205,71,276,0
2023-08-08,168,66,234,0
2023-08-09,195,75,270,0
2023-08-10,166,68,234,0
2023-08-11,162,73,235,0
2023-08-12,58,190,248,0
2023-08-13,27,217,244,0
2023-08-14,190,65,255,0
2023-08-15,198,53,251,0
2023-08-16,183,54,237,0
2023-08-17,62,66,128,1
2023-08-18,146,83,229,0
2023-08-19,49,171,220,0
2023-08-20,25,204,229,0
2023-08-21,214,61,275,0
2023-08-22,159,59,218,0
2023-08-23,164,78,242,0
2023-08-24,192,73,265,0
2023-08-25,131,78,209,0
2023-08-26,48,172,220,0
2023-08-27,23,220,243,0
2023-08-28,167,73,240,0
2023-08-29,159,53,212,0
2023-08-30,175,67,242,0
2023-08-31,165,68,233,0
2023-09-01,133,86,219,0
2023-09-02,32,186,218,0
2023-09-03,30,184,214,0
2023-09-04,177,62,239,0
2023-09-05,155,71,226,0
2023-09-06,182,71,253,0
2023-09-07,158,71,229,0
2023-09-08,143,78,221,0
2023-09-09,30,162,192,0
2023-09-10,30,212,242,0
2023-09-11,178,49,227,0
2023-09-12,179,75,254,0
2023-09-13,156,59,215,0
2023-09-14,182,74,256,0
2023-09-15,139,85,224,0
2023-09-16,44,165,209,0
2023-09-17,27,186,213,0
2023-09-18,169,59,228,0
2023-09-19,174,65,239,0
2023-09-20,155,60,215,0
2023-09-21,158,81,239,0
2023-09-22,142,97,239,0
2023-09-23,33,172,205,0
2023-09-24,22,184,206,0
2023-09-25,188,70,258,0
2023-09-26,161,57,218,0
2023-09-27,151,64,215,0
2023-09-28,156,76,232,0
2023-09-29,128,98,226,0
2023-09-30,30,200,230,0
2023-10-01,32,210,242,0
2023-10-02,157,76,233,0
2023-10-03,151,72,223,0
2023-10-04,157,51,208,0
2023-10-05,134,81,215,0
2023-10-06,126,109,235,0
2023-10-07,40,190,230,0
2023-10-08,35,220,255,0
2023-10-09,164,72,236,0
2023-10-10,165,82,247,0
2023-10-11,136,58,194,0
2023-10-12,42,67,109,1
2023-10-13,141,108,249,0
2023-10-14,31,198,229,0
2023-10-15,32,206,238,0
2023-10-16,168,79,247,0
2023-10-17,148,59,207,0
2023-10-18,145,69,214,0
2023-10-19,155,72,227,0
2023-10-20,137,113,250,0
2023-10-21,33,222,255,0
2023-10-22,15,216,231,0
2023-10-23,165,72,237,0
2023-10-24,139,78,217,0
2023-10-25,142,68,210,0
2023-10-26,152,82,234,0
2023-10-27,125,74,199,0
2023-10-28,34,194,228,0
2023-10-29,18,210,228,0
2023-10-30,156,75,231,0
2023-10-31,122,66,188,0
2023-11-01,153,52,205,0
2023-11-02,128,68,196,0
2023-11-03,119,123,242,0
2023-11-04,42,175,217,0
2023-11-05,22,220,242,0
2023-11-06,154,67,221,0
2023-11-07,151,71,222,0
2023-11-08,139,78,217,0
2023-11-09,142,88,230,0
2023-11-10,125,98,223,0
2023-11-11,28,214,242,0
2023-11-12,14,220,234,0
2023-11-13,146,74,220,0
2023-11-14,139,81,220,0
2023-11-15,136,77,213,0
2023-11-16,121,86,207,0
2023-11-17,87,108,195,0
2023-11-18,29,199,228,0
2023-11-19,22,233,255,0
2023-11-20,44,74,118,1
2023-11-21,149,73,222,0
2023-11-22,127,64,191,0
2023-11-23,131,69,200,0
2023-11-24,100,90,190,0
2023-11-25,41,198,239,0
2023-11-26,18,265,283,0
2023-11-27,159,71,230,0
2023-11-28,133,59,192,0
2023-11-29,128,91,219,0
2023-11-30,143,75,218,0
2023-12-01,121,111,232,0
2023-12-02,33,233,266,0
2023-12-03,28,233,261,0
2023-12-04,126,82,208,0
2023-12-05,121,74,195,0
2023-12-06,143,95,238,0
2023-12-07,129,85,214,0
2023-12-08,38,108,146,1
2023-12-09,36,221,257,0
2023-12-10,29,229,258,0
2023-12-11,130,83,213,0
2023-12-12,134,76,210,0
2023-12-13,127,79,206,0
2023-12-14,117,84,201,0
2023-12-15,108,100,208,0
2023-12-16,43,247,290,0
2023-12-17,18,246,264,0
2023-12-18,141,75,216,0
2023-12-19,114,62,176,0
2023-12-20,93,91,184,0
2023-12-21,118,78,196,0
2023-12-22,108,117,225,0
2023-12-23,29,207,236,0
2023-12-24,30,249,279,0
2023-12-25,37,105,142,1
2023-12-26,118,75,193,0
2023-12-27,115,82,197,0
2023-12-28,112,74,186,0
2023-12-29,99,100,199,0
2023-12-30,25,223,248,0
2023-12-31,13,255,268,0
2024-01-01,46,88,134,1
2024-01-02,138,79,217,0
2024-01-03,138,90,228,0
2024-01-04,131,89,220,0
2024-01-05,103,119,222,0
2024-01-06,28,242,270,0
2024-01-07,17,231,248,0
2024-01-08,144,79,223,0
2024-01-09,124,77,201,0
2024-01-10,117,58,175,0
2024-01-11,108,67,175,0
2024-01-12,89,123,212,0
2024-01-13,36,223,259,0
2024-01-14,18,277,295,0
2024-01-15,140,85,225,0
2024-01-16,134,84,218,0
2024-01-17,120,72,192,0
2024-01-18,124,79,203,0
2024-01-19,104,116,220,0
2024-01-20,37,233,270,0
2024-01-21,16,245,261,0
2024-01-22,121,81,202,0
2024-01-23,120,75,195,0
2024-01-24,107,74,181,0
2024-01-25,123,85,208,0
2024-01-26,98,121,219,0
2024-01-27,24,228,252,0
2024-01-28,16,232,248,0
2024-01-29,109,68,177,0
2024-01-30,134,100,234,0
2024-01-31,113,74,187,0
2024-02-01,107,76,183,0
2024-02-02,97,108,205,0
2024-02-03,27,251,278,0
2024-02-04,19,253,272,0
2024-02-05,135,94,229,0
2024-02-06,117,82,199,0
2024-02-07,142,77,219,0
2024-02-08,125,90,215,0
2024-02-09,96,115,211,0
2024-02-10,24,236,260,0
2024-02-11,24,261,285,0
2024-02-12,132,98,230,0
2024-02-13,120,79,199,0
2024-02-14,132,74,206,0
2024-02-15,130,83,213,0
2024-02-16,95,133,228,0
2024-02-17,26,232,258,0
2024-02-18,22,235,257,0
2024-02-19,135,92,227,0
2024-02-20,130,82,212,0
2024-02-21,117,82,199,0
2024-02-22,131,89,220,0
2024-02-23,116,104,220,0
2024-02-24,30,229,259,0
2024-02-25,21,236,257,0
2024-02-26,139,89,228,0
2024-02-27,114,89,203,0
2024-02-28,106,75,181,0
2024-02-29,126,79,205,0
2024-03-01,118,101,219,0
2024-03-02,34,237,271,0
2024-03-03,14,224,238,0
2024-03-04,147,69,216,0
2024-03-05,119,64,183,0
2024-03-06,154,88,242,0
2024-03-07,136,93,229,0
2024-03-08,110,115,225,0
2024-03-09,32,248,280,0
2024-03-10,24,220,244,0
2024-03-11,138,96,234,0
2024-03-12,161,73,234,0
2024-03-13,138,75,213,0
2024-03-14,137,95,232,0
2024-03-15,119,120,239,0
2024-03-16,33,217,250,0
2024-03-17,23,258,281,0
2024-03-18,144,77,221,0
2024-03-19,160,100,260,0
2024-03-20,156,71,227,0
2024-03-21,148,77,225,0
2024-03-22,120,106,226,0
2024-03-23,30,195,225,0
2024-03-24,29,222,251,1
2024-03-25,184,74,258,0
2024-03-26,140,64,204,0
2024-03-27,155,68,223,0
2024-03-28,153,75,228,0
2024-03-29,128,138,266,0
2024-03-30,37,239,276,0
2024-03-31,21,224,245,0
2024-04-01,174,82,256,0
2024-04-02,50,79,129,1
2024-04-03,138,62,200,0
2024-04-04,162,70,232,0
2024-04-05,126,110,236,0
2024-04-06,45,203,248,0
2024-04-07,26,239,265,0
2024-04-08,157,73,230,0
2024-04-09,168,55,223,0
2024-04-10,177,74,251,0
2024-04-11,174,75,249,0
2024-04-12,145,139,284,0
2024-04-13,46,214,260,0
2024-04-14,29,227,256,0
2024-04-15,159,56,215,0
2024-04-16,167,98,265,0
2024-04-17,152,76,228,0
2024-04-18,172,82,254,0
2024-04-19,138,114,252,0
2024-04-20,40,246,286,0
2024-04-21,20,224,244,0
2024-04-22,166,98,264,0
2024-04-23,162,81,243,0
2024-04-24,130,59,189,0
2024-04-25,143,88,231,0
2024-04-26,165,99,264,0
2024-04-27,42,208,250,0
2024-04-28,28,224,252,0
2024-04-29,179,76,255,0
2024-04-30,166,72,238,0
2024-05-01,55,74,129,1
2024-05-02,157,80,237,0
2024-05-03,160,102,262,0
2024-05-04,41,203,244,0
2024-05-05,47,225,272,0
2024-05-06,204,73,277,0
2024-05-07,180,66,246,0
2024-05-08,178,82,260,0
2024-05-09,171,63,234,0
2024-05-10,137,100,237,0
2024-05-11,49,227,276,0
2024-05-12,28,214,242,0
2024-05-13,213,79,292,0
2024-05-14,193,68,261,0
2024-05-15,183,74,257,0
2024-05-16,178,63,241,0
2024-05-17,165,102,267,0
2024-05-18,43,210,253,0
2024-05-19,23,216,239,0
2024-05-20,196,81,277,0
2024-05-21,188,71,259,0
2024-05-22,180,73,253,0
2024-05-23,177,83,260,0
2024-05-24,167,90,257,0
2024-05-25,44,219,263,1
2024-05-26,31,237,268,0
2024-05-27,198,72,270,0
2024-05-28,211,71,282,0
2024-05-29,176,82,258,0
2024-05-30,182,79,261,0
2024-05-31,151,101,252,0
2024-06-01,50,202,252,0
2024-06-02,27,183,210,0
2024-06-03,207,72,279,0
2024-06-04,192,71,263,0
2024-06-05,171,59,230,0
2024-06-06,192,63,255,0
2024-06-07,149,101,250,0
2024-06-08,57,177,234,0
2024-06-09,29,218,247,0
2024-06-10,193,86,279,0
2024-06-11,207,57,264,0
2024-06-12,174,67,241,0
2024-06-13,167,70,237,0
2024-06-14,191,101,292,0
2024-06-15,49,187,236,0
2024-06-16,32,201,233,0
2024-06-17,228,62,290,0
2024-06-18,208,53,261,0
2024-06-19,193,61,254,0
2024-06-20,71,93,164,1
2024-06-21,196,120,316,0
2024-06-22,48,190,238,0
2024-06-23,38,217,255,0
2024-06-24,218,73,291,0
2024-06-25,231,67,298,0
2024-06-26,184,75,259,0
2024-06-27,172,71,243,0
2024-06-28,183,103,286,0
2024-06-29,50,214,264,0
2024-06-30,38,227,265,0
2024-07-01,246,65,311,0
2024-07-02,209,57,266,0
2024-07-03,208,70,278,0
2024-07-04,184,70,254,0
2024-07-05,165,94,259,0
2024-07-06,54,218,272,0
2024-07-07,27,226,253,0
2024-07-08,202,85,287,0
2024-07-09,72,69,141,1
2024-07-10,209,68,277,0
2024-07-11,176,62,238,0
2024-07-12,194,115,309,0
2024-07-13,50,171,221,0
2024-07-14,49,221,270,0
2024-07-15,206,66,272,0
2024-07-16,187,78,265,0
2024-07-17,204,55,259,0
2024-07-18,189,85,274,0
2024-07-19,172,98,270,0
2024-07-20,47,204,251,0
2024-07-21,27,230,257,0
2024-07-22,213,85,298,0
2024-07-23,225,70,295,0
2024-07-24,189,75,264,0
2024-07-25,213,72,285,0
2024-07-26,171,92,263,0
2024-07-27,54,201,255,0
2024-07-28,34,219,253,0
2024-07-29,225,78,303,0
2024-07-30,193,70,263,0
2024-07-31,194,55,249,0
2024-08-01,184,85,269,0
2024-08-02,181,105,286,0
2024-08-03,54,207,261,0
2024-08-04,44,202,246,0
2024-08-05,211,74,285,0
2024-08-06,209,78,287,0
2024-08-07,219,66,285,0
2024-08-08,187,77,264,0
2024-08-09,183,109,292,0
2024-08-10,54,190,244,0
2024-08-11,29,203,232,0
2024-08-12,218,74,292,0
2024-08-13,246,68,314,0
2024-08-14,608,73,681,0
2024-08-15,379,92,471,0
2024-08-16,228,97,325,0
2024-08-17,55,221,276,1
2024-08-18,39,256,295,0
2024-08-19,188,65,253,0
2024-08-20,217,67,284,0
2024-08-21,170,78,248,0
2024-08-22,197,69,266,0
2024-08-23,173,99,272,0
2024-08-24,40,242,282,0
2024-08-25,33,222,255,0
2024-08-26,226,73,299,0
2024-08-27,182,81,263,0
2024-08-28,197,53,250,0
2024-08-29,182,78,260,0
2024-08-30,167,104,271,0
2024-08-31,46,223,269,0
2024-09-01,41,242,283,0
2024-09-02,229,81,310,0
2024-09-03,221,78,299,0
2024-09-04,176,89,265,0
2024-09-05,197,79,276,0
2024-09-06,188,120,308,0
2024-09-07,55,180,235,0
2024-09-08,33,225,258,0
2024-09-09,206,81,287,0
2024-09-10,199,73,272,0
2024-09-11,203,64,267,0
2024-09-12,179,69,248,0
2024-09-13,155,106,261,0
2024-09-14,51,238,289,0
2024-09-15,30,214,244,0
2024-09-16,221,69,290,0
2024-09-17,195,60,255,0
2024-09-18,173,84,257,0
2024-09-19,188,75,263,0
2024-09-20,147,121,268,0
2024-09-21,47,207,254,0
2024-09-22,29,243,272,0
2024-09-23,199,72,271,0
2024-09-24,195,66,261,0
2024-09-25,154,73,227,0
2024-09-26,186,83,269,0
2024-09-27,161,119,280,0
2024-09-28,43,226,269,0
2024-09-29,29,249,278,0
2024-09-30,171,82,253,0
2024-10-01,176,95,271,0
2024-10-02,188,72,260,0
2024-10-03,170,74,244,0
2024-10-04,138,122,260,0
2024-10-05,43,251,294,0
2024-10-06,26,251,277,0
2024-10-07,182,78,260,0
2024-10-08,163,88,251,0
2024-10-09,165,67,232,0
2024-10-10,179,79,258,0
2024-10-11,127,111,238,0
2024-10-12,26,249,275,1
2024-10-13,20,239,259,0
2024-10-14,193,82,275,0
2024-10-15,195,81,276,0
2024-10-16,152,76,228,0
2024-10-17,192,74,266,0
2024-10-18,152,102,254,0
2024-10-19,42,252,294,0
2024-10-20,24,253,277,0
2024-10-21,170,77,247,0
2024-10-22,168,80,248,0
2024-10-23,170,80,250,0
2024-10-24,147,90,237,0
2024-10-25,125,117,242,0
2024-10-26,39,224,263,0
2024-10-27,31,211,242,0
2024-10-28,151,81,232,0
2024-10-29,182,78,260,0
2024-10-30,168,85,253,0
2024-10-31,170,101,271,0
2024-11-01,153,107,260,0
2024-11-02,41,242,283,0
2024-11-03,30,283,313,0
2024-11-04,192,84,276,0
2024-11-05,152,92,244,0
2024-11-06,158,87,245,0
2024-11-07,164,89,253,0
2024-11-08,128,126,254,0
2024-11-09,47,248,295,0
2024-11-10,28,253,281,0
2024-11-11,162,87,249,0
2024-11-12,146,90,236,0
2024-11-13,164,78,242,0
2024-11-14,144,86,230,0
2024-11-15,139,138,277,0
2024-11-16,48,244,292,0
2024-11-17,26,258,284,0
2024-11-18,176,109,285,0
2024-11-19,146,97,243,0
2024-11-20,55,81,136,1
2024-11-21,162,98,260,0
2024-11-22,107,115,222,0
2024-11-23,39,245,284,0
2024-11-24,26,267,293,0
2024-11-25,152,96,248,0
2024-11-26,144,82,226,0
2024-11-27,156,89,245,0
2024-11-28,127,87,214,0
2024-11-29,129,119,248,0
2024-11-30,36,263,299,0
2024-12-01,25,271,296,0
2024-12-02,138,81,219,0
2024-12-03,158,87,245,0
2024-12-04,134,90,224,0
2024-12-05,176,101,277,0
2024-12-06,122,127,249,0
2024-12-07,23,274,297,0
2024-12-08,25,288,313,1
2024-12-09,186,103,289,0
2024-12-10,160,75,235,0
2024-12-11,167,85,252,0
2024-12-12,138,102,240,0
2024-12-13,118,122,240,0
2024-12-14,37,242,279,0
2024-12-15,19,292,311,0
2024-12-16,169,88,257,0
2024-12-17,145,94,239,0
2024-12-18,138,90,228,0
2024-12-19,129,79,208,0
2024-12-20,99,127,226,0
2024-12-21,28,262,290,0
2024-12-22,28,294,322,0
2024-12-23,138,99,237,0
2024-12-24,155,88,243,0
2024-12-25,38,75,113,1
2024-12-26,140,98,238,0
2024-12-27,111,156,267,0
2024-12-28,36,266,302,0
2024-12-29,18,300,318,0
2024-12-30,166,89,255,0
2024-12-31,116,82,198,0
2025-01-01,59,92,151,1
2025-01-02,125,103,228,0
2025-01-03,142,142,284,0
2025-01-04,36,271,307,0
2025-01-05,18,319,337,0
2025-01-06,163,104,267,0
2025-01-07,149,99,248,0
2025-01-08,131,98,229,0
2025-01-09,143,97,240,0
2025-01-10,102,129,231,0
2025-01-11,30,278,308,0
2025-01-12,18,317,335,0
2025-01-13,159,116,275,0
2025-01-14,150,96,246,0
2025-01-15,133,80,213,0
2025-01-16,127,94,221,0
2025-01-17,113,127,240,0
2025-01-18,42,277,319,0
2025-01-19,22,304,326,0
2025-01-20,145,105,250,0
2025-01-21,135,86,221,0
2025-01-22,140,75,215,0
2025-01-23,129,86,215,0
2025-01-24,131,141,272,0
2025-01-25,37,291,328,0
2025-01-26,19,300,319,0
2025-01-27,141,104,245,0
2025-01-28,142,106,248,0
2025-01-29,154,83,237,0
2025-01-30,141,88,229,0
2025-01-31,137,108,245,0
2025-02-01,35,299,334,0
2025-02-02,19,295,314,0
2025-02-03,138,107,245,0
2025-02-04,159,76,235,0
2025-02-05,141,94,235,0
2025-02-06,136,94,230,0
2025-02-07,106,125,231,0
2025-02-08,38,257,295,0
2025-02-09,25,302,327,0
2025-02-10,162,95,257,0
2025-02-11,152,88,240,0
2025-02-12,145,78,223,0
2025-02-13,160,96,256,0
2025-02-14,127,141,268,0
2025-02-15,38,245,283,0
2025-02-16,24,282,306,0
2025-02-17,174,120,294,0
2025-02-18,162,106,268,0
2025-02-19,143,97,240,0
2025-02-20,126,92,218,0
2025-02-21,120,145,265,0
2025-02-22,49,272,321,0
2025-02-23,27,256,283,0
2025-02-24,164,94,258,0
2025-02-25,137,83,220,0
2025-02-26,138,99,237,0
2025-02-27,157,111,268,0
2025-02-28,153,147,300,0
2025-03-01,33,248,281,0
2025-03-02,31,275,306,0
2025-03-03,149,109,258,0
2025-03-04,180,85,265,0
2025-03-05,164,86,250,0
2025-03-06,136,104,240,0
2025-03-07,144,129,273,0
2025-03-08,34,279,313,0
2025-03-09,26,235,261,0
2025-03-10,176,97,273,0
2025-03-11,201,100,301,0
2025-03-12,182,89,271,0
2025-03-13,163,88,251,0
2025-03-14,149,127,276,0
2025-03-15,37,255,292,0
2025-03-16,23,253,276,0
2025-03-17,188,98,286,0
2025-03-18,167,89,256,0
2025-03-19,166,71,237,0
2025-03-20,145,90,235,0
2025-03-21,124,126,250,0
2025-03-22,35,250,285,0
2025-03-23,32,279,311,0
2025-03-24,77,88,165,1
2025-03-25,173,89,262,0
2025-03-26,162,81,243,0
2025-03-27,182,80,262,0
2025-03-28,150,126,276,0
2025-03-29,49,273,322,0
2025-03-30,23,287,310,0
2025-03-31,210,93,303,0
2025-04-01,186,102,288,0
2025-04-02,55,89,144,1
2025-04-03,185,101,286,0
2025-04-04,151,124,275,0
2025-04-05,41,271,312,0
2025-04-06,33,288,321,0
2025-04-07,194,95,289,0
2025-04-08,183,68,251,0
2025-04-09,190,97,287,0
2025-04-10,172,95,267,0
2025-04-11,155,120,275,0
2025-04-12,41,246,287,0
2025-04-13,33,248,281,0
2025-04-14,196,83,279,0
2025-04-15,191,95,286,0
2025-04-16,210,85,295,0
2025-04-17,180,108,288,0
2025-04-18,177,136,313,0
2025-04-19,46,244,290,0
2025-04-20,42,286,328,0
2025-04-21,202,93,295,0
2025-04-22,214,75,289,0
2025-04-23,176,89,265,0
2025-04-24,219,86,305,0
2025-04-25,170,125,295,0
2025-04-26,45,254,299,0
2025-04-27,32,268,300,0
2025-04-28,192,92,284,0
2025-04-29,177,103,280,0
2025-04-30,184,85,269,0
2025-05-01,92,95,187,1
2025-05-02,164,136,300,0
2025-05-03,38,263,301,0
2025-05-04,38,277,315,0
2025-05-05,219,95,314,0
2025-05-06,230,83,313,0
2025-05-07,214,76,290,0
2025-05-08,215,91,306,0
2025-05-09,189,109,298,0
2025-05-10,59,258,317,0
2025-05-11,46,258,304,0
2025-05-12,221,85,306,0
2025-05-13,223,80,303,0
2025-05-14,197,87,284,0
2025-05-15,208,74,282,0
2025-05-16,186,117,303,0
2025-05-17,41,255,296,0
2025-05-18,40,255,295,0
2025-05-19,226,81,307,0
2025-05-20,235,82,317,0
2025-05-21,217,98,315,0
2025-05-22,193,83,276,0
2025-05-23,201,120,321,0
2025-05-24,52,230,282,0
2025-05-25,42,280,322,1
2025-05-26,231,94,325,0
2025-05-27,203,86,289,0
2025-05-28,195,79,274,0
2025-05-29,242,94,336,0
2025-05-30,176,120,296,0
2025-05-31,57,231,288,0
2025-06-01,31,276,307,0
2025-06-02,233,99,332,0
2025-06-03,214,88,302,0
2025-06-04,233,78,311,0
2025-06-05,205,102,307,0
2025-06-06,189,109,298,0
2025-06-07,48,238,286,0
2025-06-08,33,236,269,0
2025-06-09,223,85,308,0
2025-06-10,227,71,298,0
2025-06-11,235,72,307,0
2025-06-12,227,84,311,0
2025-06-13,225,112,337,0
2025-06-14,47,253,300,0
2025-06-15,37,237,274,0
2025-06-16,213,86,299,0
2025-06-17,214,66,280,0
2025-06-18,244,89,333,0
2025-06-19,233,82,315,0
2025-06-20,73,132,205,1
2025-06-21,64,235,299,0
2025-06-22,46,305,351,0
2025-06-23,215,98,313,0
2025-06-24,239,80,319,0
2025-06-25,203,76,279,0
2025-06-26,233,104,337,0
2025-06-27,213,116,329,0
2025-06-28,52,212,264,0
2025-06-29,51,239,290,0
2025-06-30,243,83,326,0
2025-07-01,243,76,319,0
2025-07-02,241,76,317,0
2025-07-03,228,83,311,0
2025-07-04,182,112,294,0
2025-07-05,50,239,289,0
2025-07-06,39,243,282,0
2025-07-07,246,96,342,0
2025-07-08,241,80,321,0
2025-07-09,74,77,151,1
2025-07-10,229,78,307,0
2025-07-11,211,126,337,0
2025-07-12,60,246,306,0
2025-07-13,37,256,293,0
2025-07-14,221,93,314,0
2025-07-15,228,91,319,0
2025-07-16,240,71,311,0
2025-07-17,211,79,290,0
