empleado_id,faltas_mes,weeklys_perdidas,minutos_camara_weekly,renuncia
322,5,2,31.3,Si
323,0,1,37.7,No
324,0,1,31.6,No
325,2,3,26.8,No
326,3,2,27.3,No
327,2,0,44.0,No
328,1,0,37.8,No
329,1,3,33.0,Si
330,1,4,34.1,No
331,0,2,30.8,No
332,0,0,36.7,No
333,1,2,38.4,No
334,5,5,22.4,Si
335,0,4,32.0,No
336,4,5,21.2,Si
337,2,4,22.1,Si
338,0,1,33.4,No
339,1,3,45.0,No
340,2,7,27.5,Si
341,2,2,33.6,No
342,2,4,35.9,No
343,0,0,37.8,No
344,1,0,28.1,No
345,1,2,32.0,No
346,1,0,39.7,No
347,3,2,35.7,No
348,0,3,39.6,No
349,2,1,38.1,No
350,0,5,38.6,Si
351,1,1,34.3,No
352,1,3,36.4,No
353,1,2,33.2,No
354,1,2,35.3,No
355,1,1,43.2,Si
356,3,1,36.2,No
357,3,7,19.8,Si
358,0,1,39.3,No
359,1,1,18.1,Si
360,1,3,40.7,No
361,0,3,38.5,No
362,0,0,32.2,No
363,3,2,28.4,Si
364,1,1,36.5,No
365,2,0,41.4,No
366,2,1,34.4,No
367,0,0,35.8,No
368,2,4,31.4,Si
369,0,1,39.9,No
370,0,1,33.6,No
371,0,0,34.0,No
372,0,5,39.3,No
373,5,1,33.4,No
374,0,3,41.3,No
375,0,1,38.8,No
376,2,1,28.7,No
377,3,3,30.7,No
378,1,0,34.5,No
379,0,2,34.1,No
380,1,0,37.8,No
381,1,0,31.2,No
382,1,2,33.8,No
383,1,0,41.3,No
384,2,0,35.4,No
385,2,0,30.9,No
386,2,1,31.5,No
387,1,3,25.3,Si
388,1,2,29.6,No
389,1,1,37.1,No
390,2,3,24.3,Si
391,1,4,38.9,No
392,1,6,39.5,No
393,2,0,30.1,No
394,0,1,39.5,No
395,0,0,41.0,No
396,0,1,36.1,No
397,2,0,38.3,No
398,1,3,30.4,No
399,0,2,40.6,No
400,2,3,20.7,Si
401,0,1,34.8,No
402,1,2,32.7,No
403,0,2,29.3,No
404,1,3,9.3,Si
405,3,3,24.8,Si
406,2,0,40.5,No
407,0,1,26.6,No
408,0,3,29.2,No
409,0,0,34.2,No
410,1,0,38.3,No
411,2,2,33.0,No
412,4,8,22.0,Si
413,3,0,36.6,No
414,1,2,38.6,No
415,0,3,38.5,No
416,4,1,21.9,Si
417,1,2,33.4,No
418,2,1,28.1,No
419,2,1,45.0,No
420,2,1,27.2,No
421,2,3,42.9,No
422,1,0,36.9,No
423,0,2,40.2,No
424,1,3,29.8,Si
425,1,1,38.5,No
426,2,2,33.4,No
427,2,1,30.0,No
428,2,0,36.9,No
429,1,5,25.1,No
430,0,0,42.2,No
431,0,0,27.7,No
432,2,1,30.7,No
433,3,2,27.0,Si
434,0,1,45.0,No
435,0,3,40.0,No
436,2,5,16.3,Si
437,0,4,38.7,No
438,5,4,22.9,Si
439,0,0,36.0,No
440,0,1,44.6,No
441,3,5,35.8,No
442,1,2,34.9,No
443,4,1,25.5,No
444,0,2,18.9,Si
445,0,0,36.8,No
446,0,0,39.6,No
447,1,0,37.5,No
448,2,0,32.0,No
449,0,3,36.0,No
450,0,0,32.0,No
451,2,2,36.5,No
452,3,3,36.3,No
453,1,1,31.0,No
454,0,1,36.1,No
455,0,1,39.5,No
456,0,0,27.2,No
457,2,1,35.2,No
458,4,5,24.1,Si
459,0,2,27.9,No
460,2,0,37.4,No
461,2,1,27.8,No
462,1,1,42.4,No
463,0,5,35.4,No
464,0,1,29.2,No
465,0,2,24.5,No
466,3,7,40.8,No
467,1,1,36.6,No
468,0,1,45.0,No
469,3,2,29.2,No
470,1,0,38.5,No
471,4,2,27.3,No
472,1,2,35.9,No
473,0,0,29.8,No
474,0,0,38.1,No
475,0,0,35.5,No
476,0,5,34.6,No
477,2,4,31.5,No
478,0,0,37.5,No
479,1,0,37.4,No
480,2,6,26.0,Si
481,0,2,41.0,No
482,1,2,38.2,No
483,0,2,30.9,No
484,3,5,31.6,Si
485,0,2,30.1,No
486,2,0,37.5,No
487,0,4,19.4,Si
488,0,1,42.2,No
489,1,1,32.4,No
490,0,0,29.1,No
491,4,4,22.5,No
492,1,2,29.7,Si
493,2,3,34.8,No
494,1,0,25.3,No
495,1,0,28.8,No
496,1,0,37.8,No
497,5,3,25.4,Si
498,1,4,38.9,No
499,1,0,29.7,No
500,1,1,27.1,No
501,2,5,24.6,Si
502,2,3,16.3,Si
503,2,1,41.5,No
504,0,0,39.5,No
505,0,3,23.1,No
506,4,1,35.9,No
507,1,0,35.1,No
508,3,6,21.8,Si
509,1,7,21.5,Si
510,2,2,38.3,No
511,2,2,35.4,No
512,0,0,33.8,No
513,6,5,28.5,Si
514,0,3,24.3,No
515,4,0,25.5,No
516,2,0,23.2,Si
517,1,4,32.6,No
518,2,2,30.1,No
519,0,0,39.6,No
520,0,1,37.0,No
521,0,3,42.1,No
522,1,1,34.2,No
523,1,0,31.2,No
524,1,0,24.2,No
525,3,1,37.5,No
526,4,1,37.4,No
527,0,0,41.7,No
528,0,0,29.7,No
529,2,2,25.5,Si
530,1,2,38.5,No
531,1,0,39.9,No
532,1,3,33.4,No
533,0,1,32.2,Si
534,1,2,38.4,No
535,0,0,37.7,No
536,1,5,32.9,No
537,1,3,21.5,No
538,5,7,28.3,Si
539,3,4,26.1,Si
540,0,1,38.5,No
541,1,4,33.5,No
542,1,0,37.6,No
543,1,0,38.8,No
544,1,0,33.8,No
545,2,0,43.9,No
546,1,2,44.6,No
547,0,3,41.0,No
548,0,4,32.6,No
549,1,2,26.2,No
550,1,2,26.5,Si
551,0,1,35.3,No
552,1,0,27.9,No
553,2,0,36.8,No
554,1,1,42.7,No
555,2,2,28.6,Si
556,0,2,38.6,No
557,0,0,45.0,No
558,1,2,36.7,No
559,0,4,29.5,No
560,2,3,29.0,No
561,1,1,35.5,No
562,0,4,39.2,No
563,2,1,45.0,No
564,4,5,18.3,Si
565,1,4,39.6,No
566,0,2,31.5,No
567,2,1,29.8,No
568,0,2,40.7,No
569,1,1,25.2,No
570,2,3,40.7,No
571,1,1,37.5,No
572,0,0,43.3,No
573,0,1,22.7,No
574,0,0,42.0,No
575,0,4,42.8,No
576,0,1,35.0,No
577,1,1,34.2,No
578,1,1,33.1,No
579,1,6,29.8,Si
580,1,1,45.0,No
581,0,0,37.5,No
582,3,3,29.9,Si
583,0,5,36.0,No
584,3,2,19.7,Si
585,3,3,26.5,Si
586,3,5,15.9,Si
587,2,3,34.0,No
588,2,3,24.8,No
589,2,2,36.9,No
590,0,0,40.6,No
591,5,5,21.1,Si
592,0,4,45.0,No
593,2,2,30.7,No
594,2,5,21.5,No
595,0,0,35.7,No
596,2,5,28.8,No
597,2,0,26.8,No
598,1,0,43.0,No
599,0,1,34.8,No
600,0,3,37.9,No
